#name,title,author
ameroki,_('Ameroki Map'),unknown
france,_('France'),Thierry Baldo
godstorm,_('Risk GodStorm'),Yura Mamyrin
lotr,_('Lord of the Rings'),unknown
risk,_('Risk'),Yura Mamyrin
risk2210,_('Risk 2210 Map'),Matthias Kuehl
roman_empire,_('Roman Empire Map'),Adrien Schvalberg
