# Potential applied (V);Time (s);WE(1).Current (A);Index;Current range
-1.19888305664063;319.760506192682;-0.0062347412109375;1;10 mA
-1.19781494140625;326.167916176505;-0.0062469482421875;2;10 mA
-1.19674682617188;332.575326160328;-0.006097412109375;3;10 mA
-1.1956787109375;338.982736144151;-0.0061370849609375;4;10 mA
-1.19461059570313;345.390146127974;-0.0059326171875;5;10 mA
-1.19354248046875;351.797556111797;-0.0058197021484375;6;10 mA
-1.19247436523438;358.204966095619;-0.005853271484375;7;10 mA
-1.19140625;364.612376079442;-0.0058258056640625;8;10 mA
-1.19033813476563;371.019786063265;-0.0057281494140625;9;10 mA
-1.18927001953125;377.427196047088;-0.00572509765625;10;10 mA
-1.18820190429688;383.834606030911;-0.0056304931640625;11;10 mA
-1.1871337890625;390.242016014734;-0.0055816650390625;12;10 mA
-1.18606567382813;396.649425998556;-0.0056182861328125;13;10 mA
-1.18499755859375;403.056835982379;-0.0056243896484375;14;10 mA
-1.18392944335938;409.464245966202;-0.00535888671875;15;10 mA
-1.182861328125;415.871655950025;-0.0053558349609375;16;10 mA
-1.18179321289063;422.279065933848;-0.005303955078125;17;10 mA
-1.18072509765625;428.686475917671;-0.005340576171875;18;10 mA
-1.17965698242188;435.093885901494;-0.005340576171875;19;10 mA
-1.1785888671875;441.501295885316;-0.0051239013671875;20;10 mA
-1.17752075195313;447.908705869139;-0.0050445556640625;21;10 mA
-1.17645263671875;454.316115852962;-0.005010986328125;22;10 mA
-1.17538452148438;460.723525836785;-0.005035400390625;23;10 mA
-1.17431640625;467.130935820608;-0.004937744140625;24;10 mA
-1.17324829101563;473.538345804431;-0.0048406982421875;25;10 mA
-1.17218017578125;479.945755788253;-0.0048345947265625;26;10 mA
-1.17111206054688;486.353165772076;-0.004827880859375;27;10 mA
-1.1700439453125;492.760575755899;-0.0049285888671875;28;10 mA
-1.16897583007813;499.167985739722;-0.00474822998046875;29;10 mA
-1.16790771484375;505.575395723545;-0.00471038818359375;30;10 mA
-1.16683959960938;511.982805707368;-0.00469818115234375;31;10 mA
-1.165771484375;518.390215691191;-0.004703369140625;32;10 mA
-1.16470336914063;524.797625675013;-0.00460845947265625;33;10 mA
-1.16363525390625;531.205035658836;-0.00455169677734375;34;10 mA
-1.16256713867188;537.612445642659;-0.00444427490234375;35;10 mA
-1.1614990234375;544.019855626482;-0.00451934814453125;36;10 mA
-1.16043090820313;550.427265610305;-0.00450836181640625;37;10 mA
-1.15936279296875;556.834675594128;-0.0044561767578125;38;10 mA
-1.15829467773438;563.24208557795;-0.0044580078125;39;10 mA
-1.1572265625;569.649495561773;-0.00435394287109375;40;10 mA
-1.15615844726563;576.056905545596;-0.004327392578125;41;10 mA
-1.15509033203125;582.464315529419;-0.00431854248046875;42;10 mA
-1.15402221679688;588.871725513242;-0.0042559814453125;43;10 mA
-1.1529541015625;595.279135497065;-0.00429443359375;44;10 mA
-1.15188598632813;601.686545480888;-0.0042108154296875;45;10 mA
-1.15081787109375;608.09395546471;-0.00423919677734375;46;10 mA
-1.14974975585938;614.501365448533;-0.00405426025390625;47;10 mA
-1.148681640625;620.908775432356;-0.00399993896484375;48;10 mA
-1.14761352539063;627.316185416179;-0.0041552734375;49;10 mA
-1.14654541015625;633.723595400002;-0.0040032958984375;50;10 mA
-1.14547729492188;640.131005383825;-0.003935546875;51;10 mA
-1.1444091796875;646.538415367647;-0.00402099609375;52;10 mA
-1.14334106445313;652.94582535147;-0.00398681640625;53;10 mA
-1.14227294921875;659.353235335293;-0.00395233154296875;54;10 mA
-1.14120483398438;665.760645319116;-0.00396331787109375;55;10 mA
-1.14013671875;672.168055302939;-0.00384857177734375;56;10 mA
-1.13906860351563;678.575465286762;-0.0039215087890625;57;10 mA
-1.13800048828125;684.982875270584;-0.00397491455078125;58;10 mA
-1.13693237304688;691.390285254407;-0.0038031005859375;59;10 mA
-1.1358642578125;697.79769523823;-0.0037615966796875;60;10 mA
-1.13479614257813;704.205105222053;-0.00377685546875;61;10 mA
-1.13372802734375;710.612515205876;-0.00374542236328125;62;10 mA
-1.13265991210938;717.019925189699;-0.0037860107421875;63;10 mA
-1.131591796875;723.427335173522;-0.0038140869140625;64;10 mA
-1.13052368164063;729.834745157344;-0.0037255859375;65;10 mA
-1.12945556640625;736.242155141167;-0.003680419921875;66;10 mA
-1.12838745117188;742.64956512499;-0.0036956787109375;67;10 mA
-1.1273193359375;749.056975108813;-0.0036248779296875;68;10 mA
-1.12625122070313;755.464385092636;-0.00365325927734375;69;10 mA
-1.12518310546875;761.871795076459;-0.00364013671875;70;10 mA
-1.12411499023438;768.279205060281;-0.00360565185546875;71;10 mA
-1.123046875;774.686615044104;-0.003641357421875;72;10 mA
-1.12197875976563;781.094025027927;-0.00359405517578125;73;10 mA
-1.12091064453125;787.50143501175;-0.00368804931640625;74;10 mA
-1.11984252929688;793.908844995573;-0.00363677978515625;75;10 mA
-1.1187744140625;800.316254979396;-0.00354888916015625;76;10 mA
-1.11770629882813;806.723664963219;-0.00365570068359375;77;10 mA
-1.11663818359375;813.131074947041;-0.00359283447265625;78;10 mA
-1.11557006835938;819.538484930864;-0.00328369140625;79;10 mA
-1.114501953125;825.945894914687;-0.0034423828125;80;10 mA
-1.11343383789063;832.35330489851;-0.0033428955078125;81;10 mA
-1.11236572265625;838.760714882333;-0.00343017578125;82;10 mA
-1.11129760742188;845.168124866156;-0.0033477783203125;83;10 mA
-1.1102294921875;851.575534849978;-0.00328399658203125;84;10 mA
-1.10916137695313;857.982944833801;-0.0034124755859375;85;10 mA
-1.10809326171875;864.390354817624;-0.0033935546875;86;10 mA
-1.10702514648438;870.797764801447;-0.00338653564453125;87;10 mA
-1.10595703125;877.20517478527;-0.00334136962890625;88;10 mA
-1.10488891601563;883.612584769093;-0.00329925537109375;89;10 mA
-1.10382080078125;890.019994752916;-0.00327484130859375;90;10 mA
-1.10275268554688;896.427404736738;-0.00330596923828125;91;10 mA
-1.1016845703125;902.834814720561;-0.00324493408203125;92;10 mA
-1.10061645507813;909.242224704384;-0.003309326171875;93;10 mA
-1.09954833984375;915.649634688207;-0.0032171630859375;94;10 mA
-1.09848022460938;922.05704467203;-0.0032244873046875;95;10 mA
-1.097412109375;928.464454655853;-0.00326385498046875;96;10 mA
-1.09634399414063;934.871864639675;-0.00320892333984375;97;10 mA
-1.09527587890625;941.279274623498;-0.00313568115234375;98;10 mA
-1.09420776367188;947.686684607321;-0.0032061767578125;99;10 mA
-1.0931396484375;954.094094591144;-0.0032257080078125;100;10 mA
-1.09207153320313;960.501504574967;-0.003121337890625;101;10 mA
-1.09100341796875;966.90891455879;-0.00313629150390625;102;10 mA
-1.08993530273438;973.316324542613;-0.0032476806640625;103;10 mA
-1.0888671875;979.723734526435;-0.0031353759765625;104;10 mA
-1.08779907226563;986.131144510258;-0.003145751953125;105;10 mA
-1.08673095703125;992.538554494081;-0.00306854248046875;106;10 mA
-1.08566284179688;998.945964477904;-0.0029803466796875;107;10 mA
-1.0845947265625;1005.35337446173;-0.003009033203125;108;10 mA
-1.08352661132813;1011.76078444555;-0.0030841064453125;109;10 mA
-1.08245849609375;1018.16819442937;-0.00299285888671875;110;10 mA
-1.08139038085938;1024.5756044132;-0.003121337890625;111;10 mA
-1.080322265625;1030.98301439702;-0.00306915283203125;112;10 mA
-1.07925415039063;1037.39042438084;-0.00308441162109375;113;10 mA
-1.07818603515625;1043.79783436466;-0.00320465087890625;114;10 mA
-1.07711791992188;1050.20524434849;-0.002989501953125;115;10 mA
