# Potential applied (V)	Current (A)
-1.500244141	-0.002945557
-1.499786377	-0.002939453
-1.499328613	-0.00293335
-1.49887085	-0.002924805
-1.498413086	-0.002918091
-1.497955322	-0.002911377
-1.497497559	-0.002905579
-1.497039795	-0.002898254
-1.496582031	-0.002892761
-1.496124268	-0.002885437
-1.495666504	-0.002880554
-1.49520874	-0.002872925
-1.494750977	-0.002866516
-1.494293213	-0.002859497
-1.493835449	-0.002853088
-1.493377686	-0.00284729
-1.492919922	-0.002835693
-1.492462158	-0.002834473
-1.492004395	-0.002828674
-1.491546631	-0.002822266
-1.491088867	-0.002814941
-1.490631104	-0.002808228
-1.49017334	-0.002803345
-1.489715576	-0.002796326
-1.489257813	-0.002789001
-1.488800049	-0.002784119
-1.488342285	-0.002774353
-1.487884521	-0.002771301
-1.487426758	-0.002763062
-1.486968994	-0.002759705
-1.48651123	-0.002752686
-1.486053467	-0.002745972
-1.485595703	-0.002739868
-1.485137939	-0.002728577
-1.484680176	-0.002724609
-1.484222412	-0.002719116
-1.483764648	-0.002713623
-1.483306885	-0.002709656
-1.482849121	-0.002701416
-1.482391357	-0.002695923
-1.481933594	-0.002690125
-1.48147583	-0.002683716
-1.481018066	-0.002677612
-1.480560303	-0.002674255
-1.480102539	-0.002663879
-1.479644775	-0.002657471
-1.479187012	-0.002653809
-1.478729248	-0.002648315
-1.478271484	-0.002640381
-1.477813721	-0.002634888
-1.477355957	-0.00263031
-1.476898193	-0.002622986
-1.47644043	-0.002616882
-1.475982666	-0.002612
-1.475524902	-0.002606201
-1.475067139	-0.002600708
-1.474609375	-0.002593994
-1.474151611	-0.002586365
-1.473693848	-0.002583313
-1.473236084	-0.002576599
-1.47277832	-0.002571411
-1.472320557	-0.002565308
-1.471862793	-0.002558594
-1.471405029	-0.002552795
-1.470947266	-0.002549133
-1.470489502	-0.002541199
-1.470031738	-0.002534485
-1.469573975	-0.002528992
-1.469116211	-0.002522888
-1.468658447	-0.00251709
-1.468200684	-0.002510071
-1.46774292	-0.002505493
-1.467285156	-0.002501526
-1.466827393	-0.002495422
-1.466369629	-0.002488098
-1.465911865	-0.002483521
-1.465454102	-0.002478333
-1.464996338	-0.002471619
-1.464538574	-0.002466125
-1.464080811	-0.002461243
-1.463623047	-0.002454224
-1.463165283	-0.002449951
-1.46270752	-0.002444763
-1.462249756	-0.00243927
-1.461791992	-0.002431641
-1.461334229	-0.002426147
-1.460876465	-0.002422485
-1.460418701	-0.002416382
-1.459960938	-0.002412109
-1.459503174	-0.002405396
-1.45904541	-0.002401733
-1.458587646	-0.002393188
-1.458129883	-0.002388916
-1.457672119	-0.002383728
-1.457214355	-0.002377625
-1.456756592	-0.002373047
-1.456298828	-0.002367554
-1.455841064	-0.002359314
-1.455383301	-0.002355042
-1.454925537	-0.00235199
-1.454467773	-0.002344666
-1.45401001	-0.002341003
-1.453552246	-0.002336121
-1.453094482	-0.002330322
-1.452636719	-0.002322693
-1.452178955	-0.002318726
-1.451721191	-0.002312927
-1.451263428	-0.00230896
-1.450805664	-0.002301331
-1.4503479	-0.002296448
-1.449890137	-0.00229126
-1.449432373	-0.002287903
-1.448974609	-0.002282104
-1.448516846	-0.002275696
-1.448059082	-0.002271423
-1.447601318	-0.002264709
-1.447143555	-0.002262268
-1.446685791	-0.00225647
-1.446228027	-0.002250977
-1.445770264	-0.002241516
-1.4453125	-0.002240906
-1.444854736	-0.002235107
-1.444396973	-0.002229309
-1.443939209	-0.002223511
-1.443481445	-0.002220459
-1.443023682	-0.002213745
-1.442565918	-0.002210693
-1.442108154	-0.00220459
-1.441650391	-0.002198486
-1.441192627	-0.002192993
-1.440734863	-0.002188416
-1.4402771	-0.002182007
-1.439819336	-0.00217926
-1.439361572	-0.002173462
-1.438903809	-0.002169189
-1.438446045	-0.002163391
-1.437988281	-0.002160034
-1.437530518	-0.002153625
-1.437072754	-0.002151489
-1.43661499	-0.002142334
-1.436157227	-0.002138672
-1.435699463	-0.002135315
-1.435241699	-0.002129517
-1.434783936	-0.002124634
-1.434326172	-0.002120667
-1.433868408	-0.002114868
-1.433410645	-0.002110596
-1.432952881	-0.002104492
-1.432495117	-0.00210144
-1.432037354	-0.002095337
-1.43157959	-0.002090149
-1.431121826	-0.002086182
-1.430664063	-0.002080078
-1.430206299	-0.002076416
-1.429748535	-0.002071838
-1.429290771	-0.002062683
-1.428833008	-0.002062073
-1.428375244	-0.002057495
-1.42791748	-0.002052002
-1.427459717	-0.00204895
-1.427001953	-0.002041016
-1.426544189	-0.00203949
-1.426086426	-0.002034302
-1.425628662	-0.002029114
-1.425170898	-0.002023621
-1.424713135	-0.002020874
-1.424255371	-0.002015381
-1.423797607	-0.002009277
-1.423339844	-0.002006531
-1.42288208	-0.002001343
-1.422424316	-0.001993713
-1.421966553	-0.001991272
-1.421508789	-0.001986389
-1.421051025	-0.001982117
-1.420593262	-0.001978455
-1.420135498	-0.001974182
-1.419677734	-0.001969604
-1.419219971	-0.001962585
-1.418762207	-0.001960144
-1.418304443	-0.001955261
-1.41784668	-0.001953125
-1.417388916	-0.001947327
-1.416931152	-0.001943665
-1.416473389	-0.001939087
-1.416015625	-0.00193512
-1.415557861	-0.001929321
-1.415100098	-0.001924438
-1.414642334	-0.001921082
-1.41418457	-0.001915894
-1.413726807	-0.001911011
-1.413269043	-0.001904297
-1.412811279	-0.001902771
-1.412353516	-0.001896973
-1.411895752	-0.001893311
-1.411437988	-0.001889038
-1.410980225	-0.001885376
-1.410522461	-0.001882629
-1.410064697	-0.001877441
-1.409606934	-0.001873169
-1.40914917	-0.001868591
-1.408691406	-0.001863403
-1.408233643	-0.001860046
-1.407775879	-0.001856079
-1.407318115	-0.00184906
-1.406860352	-0.001846313
-1.406402588	-0.001842957
-1.405944824	-0.00184082
-1.405487061	-0.001835022
-1.405029297	-0.001828613
-1.404571533	-0.001825256
-1.40411377	-0.001820679
-1.403656006	-0.001818237
-1.403198242	-0.001812134
-1.402740479	-0.001810303
-1.402282715	-0.00180481
-1.401824951	-0.001799622
-1.401367188	-0.00179657
-1.400909424	-0.001777344
-1.40045166	-0.001789246
-1.399993896	-0.001785583
-1.399536133	-0.001780396
-1.399078369	-0.001777649
-1.398620605	-0.001773071
-1.398162842	-0.001768188
-1.397705078	-0.001764221
-1.397247314	-0.001759949
-1.396789551	-0.001755981
-1.396331787	-0.001752625
-1.395874023	-0.001748962
-1.39541626	-0.001744995
-1.394958496	-0.001740723
-1.394500732	-0.001737061
-1.394042969	-0.001731262
-1.393585205	-0.001729126
-1.393127441	-0.001724548
-1.392669678	-0.001722412
-1.392211914	-0.001715698
-1.39175415	-0.001714172
-1.391296387	-0.001710205
-1.390838623	-0.001705322
-1.390380859	-0.001699524
-1.389923096	-0.001698608
-1.389465332	-0.001694946
-1.389007568	-0.001689758
-1.388549805	-0.001687012
-1.388092041	-0.001679993
-1.387634277	-0.001678467
-1.387176514	-0.001675415
-1.38671875	-0.001672058
